scenario,baseline_v2_window_accuracy,swsgd_v2_window_accuracy,hybrid_v1_window_accuracy,delta_hybrid_minus_baseline,delta_hybrid_minus_swsgd,n_eval_windows
2fault_prob,0.996694214876033,0.5636363636363636,0.9983471074380166,0.0016528925619835322,0.434710743801653,605
3fault_prob,0.9550173010380624,0.5363321799307958,0.9896193771626296,0.03460207612456723,0.45328719723183375,578
normal_0Nm_raw,0.8894601542416453,0.3213367609254499,0.4267352185089974,-0.46272493573264784,0.10539845758354754,389
5mode_prob,0.9306243805748264,0.4757185332011893,0.8384539147670962,-0.09217046580773025,0.3627353815659069,1009
