scenario,baseline_v2_window_accuracy,noisy_only_v3_window_accuracy,swsgd_v2_window_accuracy,hybrid_v1_window_accuracy,delta_noisy_only_v3_minus_baseline,delta_noisy_only_v3_minus_swsgd,delta_noisy_only_v3_minus_hybrid,n_eval_windows
2fault_prob,0.996694214876033,0.996694214876033,0.5636363636363636,0.9983471074380166,0.0,0.43305785123966944,-0.0016528925619835322,605
3fault_prob,0.9550173010380624,0.8944636678200693,0.5363321799307958,0.9896193771626296,-0.06055363321799312,0.3581314878892734,-0.09515570934256035,578
normal_0Nm_raw,0.8894601542416453,0.974293059125964,0.3213367609254499,0.4267352185089974,0.08483290488431872,0.6529562982005142,0.5475578406169666,389
5mode_prob,0.9306243805748264,0.9236868186323092,0.4757185332011893,0.8384539147670962,-0.006937561942517267,0.4479682854311199,0.08523290386521298,1009
